Intel Celeron G3930【2核/2緒】2.9GHZ/2M快取/HD610/51W【代理盒】,1850
Intel Pentium G4560【2核/4緒】3.5GHZ/3M快取/HD610/54W【代理盒】,2150
Intel i5-7400【4核/4緒】3.0GHz(↑3.5GHz)/6M/HD630/65W【平輸盒】,5880
Intel Celeron G4900【2核/2緒】3.1GHZ/2M快取/UHD610/54W【代理盒】,1580
Intel Celeron G4900【2核/2緒】3.1GHZ/2M快取/UHD610/54W【代理盒】~組裝價~,1450
Intel Pentium G5400【2核/4緒】3.7GHZ/4M快取/UHD610/54W【代理盒】,1950
Intel i3-8100【4核/4緒】3.6GHz/6M快取/UHD630/65W 【代理盒】,4500
Intel i3-8100【4核/4緒】3.6GHz/6M快取/UHD630/65W 【平輸盒】,4350
Intel i3-8350K【4核/4緒】4GHz/8M快取/UHD630/91W【代理盒】K版不含風扇,4500
Intel i5-8400【6核/6緒】2.8GHz(↑4.0GHz)/9M/UHD630/65W【代理盒】,6380
Intel i5-8500【6核/6緒】3.0GHz(↑4.1GHz)/9M/UHD630/65W【代理盒】,6400
Intel i7-8700【6核/12緒】3.2GHz(↑4.6GHz)/12M/UHD630/65W【代理盒】,9999
Intel i7-8700【6核/12緒】3.2GHz(↑4.6GHz)/12M/UHD630/65W【代理盒】~組裝價~,9600
Intel i3-9100F【4核/4緒】3.6GHz(↑4.20GHz)/6M快取/無內顯/65W 【代理盒】,2950
Intel i3-9100F【4核/4緒】3.6GHz(↑4.20GHz)/6M快取/無內顯/65W【代理盒】~組裝價~,2850
Intel i5-9400F【6核/6緒】2.9GHz(↑4.10GHz)/9M/無內顯/65W【代理盒】,4900
Intel i5-9400F【6核/6緒】2.9GHz(↑4.10GHz)/9M/無內顯/65W【代理盒】~組裝價~,4650
Intel i5-9400【6核/6緒】2.9GHz(↑4.10GHz)/9M/UHD630/65W【代理盒】,6600
Intel i5-9400【6核/6緒】2.9GHz(↑4.10GHz)/9M/UHD630/65W【代理盒】~組裝價~,6400
