"UMAX S330 240GB /2.5"" 7mm 讀:520MB寫:450MB/3D NAND Flash【三年保】",799
"UMAX S330 480GB /2.5"" 7mm 讀:560MB寫:450MB/3D NAND Flash【三年保】",1480
"UMAX S330 960GB /2.5"" 7mm 讀:560MB寫:450MB/3D NAND Flash【三年保】",2550
"UMAX S350 256GB /2.5"" 7mm 讀:560MB寫:490MB/3D NAND Flash【三年保】",950
"KLEVV(科賦)NEO N500 240GB /2.5"" 7mm 讀:520MB寫:500MB【三年保】",888
"威剛 Ultimate SU650 120G/2.5"" 7mm/讀:520M/寫:320M/TLC顆粒【三年保】",568
"威剛 Ultimate SU650 240G/2.5"" 7mm/讀:520M/寫:450M/TLC顆粒【三年保】",870
"威剛 Ultimate SU650 480G/2.5"" 7mm/讀:520M/寫:450M/TLC顆粒【三年保】",1450
"威剛 Ultimate SU650 960G/2.5"" 7mm/讀:520M/寫:450M/TLC顆粒【三年保】PS4增大必用",2570
"威剛 Ultimate SU750 256G/2.5"" 7mm/讀:550M/寫:520M/TLC顆粒/DRAM 緩衝【三年保】",930
"威剛 Ultimate SU750 512G/2.5"" 7mm/讀:550M/寫:520M/TLC顆粒/DRAM 緩衝【三年保】",1650
"威剛 Ultimate SU750 1TB/2.5"" 7mm/讀:550M/寫:520M/TLC顆粒/DRAM 緩衝【三年保】",2949
"威剛 Ultimate SU800 128G/2.5"" 7mm/讀:560M/寫:520M/TLC/RAM 緩衝/動態快取【三年】",760
"威剛 Ultimate SU800 256G/2.5"" 7mm/讀:560M/寫:520M/TLC/RAM 緩衝/動態快取【三年】",949
"威剛 Ultimate SU800 512G/2.5"" 7mm/讀:560M/寫:520M/TLC/RAM 緩衝/動態快取【三年】",1760
"威剛 Ultimate SU800 1TB/2.5"" 7mm/讀:560M/寫:520M/TLC/RAM 緩衝/動態快取【三年】",2990
"威剛 Ultimate SU800 2TB/2.5"" 7mm/讀:560M/寫:520M/TLC/RAM 緩衝/動態快取【三年】",6550
"威剛 Ultimate SU900 256G/2.5"" 7mm/讀:560M/寫:520M/MLC/RAM 緩衝/動態快取【五年】",1470
"威剛 Ultimate SU900 512G/2.5"" 7mm/讀:560M/寫:525M/MLC/RAM 緩衝/動態快取【五年】",2350
"威剛 Ultimate SU900 1TB/2.5"" 7mm/讀:560M/寫:525M/MLC/RAM 緩衝/動態快取【五年】",4750
GIGABYTE 技嘉 120GB 7mm/讀:350M/寫:280M/TLC顆粒【三年保】,588
GIGABYTE 技嘉 240GB 7mm/讀:350M/寫:280M/TLC顆粒【三年保】,880
GIGABYTE 技嘉 UD PRO 256GB 7mm/讀:530M/寫:500M/TLC顆粒【五年保】,1199
GIGABYTE 技嘉 UD PRO 512GB7mm/讀:530M/寫:500M/TLC顆粒【五年保】,1899
"Liteon MU3 PH6 120G/2.5"" 7mm讀:560M/寫:460M/TLC顆粒【三年保】",549
"Liteon MU3 PH6 240G/2.5"" 7mm讀:560M/寫:500M/TLC顆粒【三年保】",838
"Liteon MU3 PH6 480G/2.5"" 7mm讀:560M/寫:500M/TLC顆粒【三年保】",1449
"Liteon MU3 PH6 960G/2.5"" 7mm讀:560M/寫:500M/TLC顆粒【三年保】",2499
"Intel 545s系列 256G/2.5"" 7mm/讀:550M/寫:500M/TLC顆粒/五年【五年保】",1350
"Pioneer APS-SL3-120-N 120G/2.5"" 7mm/讀:520M/寫:400M/TLC顆粒【三年保】",599
"Pioneer APS-SL3-240-N 240G/2.5"" 7mm/讀:520M/寫:450M/TLC顆粒【三年保】",830
"Pioneer APS-SL3-256-N 256G/2.5"" 7mm/讀:550M/寫:490M/TLC顆粒【三年保】",950
"Pioneer APS-SL3-480-N 480G/2.5"" 7mm/讀:520M/寫:450M/TLC顆粒【三年保】",1569
"Pioneer APS-SL3-512-N 512G/2.5"" 7mm/讀:550M/寫:490M/TLC顆粒【三年保】",1659
"Pioneer APS-SL3-1TB-N 1TB/2.5"" 7mm/讀:550M/寫:500M/TLC顆粒【三年保】",2599
"WD Green 120G(綠標)/2.5"" 7mm/讀:540M/寫:430M/TLC顆粒【三年保】",666
"WD Green 240G(綠標)/2.5"" 7mm/讀:540M/寫:430M/TLC顆粒【三年保】",850
"WD Green 480G(綠標)/2.5"" 7mm/讀:540M/寫:430M/TLC顆粒【三年保】",1550
"WD Green 1TB(綠標)/2.5"" 7mm/讀:540M/寫:430M/TLC顆粒【三年保】",3290
"WD Blue 250G(藍標)/2.5"" 7mm/讀:545M/寫:525M/3D TLC顆粒【五年保】",1230
"WD Blue 500G(藍標)/2.5"" 7mm/讀:545M/寫:525M/3D TLC顆粒【五年保】",1930
"WD Blue 1TB(藍標)/2.5"" 7mm/讀:560M/寫:530M/3D TLC顆粒【五年保】",3680
"WD Blue 2TB(藍標)/2.5"" 7mm/讀:560M/寫:530M/3D TLC顆粒【五年保】",8650
"金士頓 A400 120G/2.5"" 7mm/讀:500M/寫:320M/TLC顆粒【三年保】",560
"金士頓 A400 240G/2.5"" 7mm/讀:500M/寫:350M/TLC顆粒【三年保】",860
"金士頓 A400 480G/2.5"" 7mm/讀:500M/寫:450M/TLC顆粒【三年保】",1488
"金士頓 A400 960G/2.5"" 7mm/讀:500M/寫:450M/TLC顆粒【三年保】",2950
"金士頓 UV500 120G/2.5"" 7mm/讀:520M/寫:500M/Marvell/TLC【五年】",699
"金士頓 UV500 240G/2.5"" 7mm/讀:520M/寫:500M/Marvell/TLC【五年】",1050
"金士頓 UV500 480G/2.5"" 7mm/讀:520M/寫:500M/Marvell/TLC【五年】",1788
"金士頓 UV500 960G/2.5"" 7mm/讀:520M/寫:500M/Marvell/TLC【五年】",3688
金士頓 HyperX Fury RGB 240GB/讀:550M/寫:480M/Marvell/3D TLC【三年】,1688
金士頓 HyperX Fury RGB 480GB/讀:550M/寫:480M/Marvell/3D TLC【三年】,2420
"美光Micron Crucia BX500 120G/2.5"" 7mm/讀:540M/寫:500M/TLC顆粒【三年保】",679
"美光Micron Crucia BX500 240G/2.5"" 7mm/讀:540M/寫:500M/TLC顆粒【三年保】",899
"美光Micron Crucia BX500 480G/2.5"" 7mm/讀:540M/寫:500M/TLC顆粒【三年保】",1599
"美光Micron Crucia BX500 960G/2.5"" 7mm/讀:540M/寫:500M/TLC顆粒【三年保】",2699
"美光Micron Crucia MX500 250G/2.5"" 7mm/讀:560M/寫:510M/TLC/SMI台控制器【五年】",1299
"美光Micron Crucia MX500 500G/2.5"" 7mm/讀:560M/寫:510M/TLC/SMI台控制器【五年】",1799
"美光Micron Crucia MX500 1TB/2.5"" 7mm/讀:560M/寫:510M/TLC/SMI台控制器【五年】",3649
"美光Micron Crucia MX500 2TB/2.5"" 7mm/讀:560M/寫:510M/TLC/SMI台控制器【五年】",8499
