i-CoolTw 8cm 靜音油封風扇(大4Pin) 不挑色,50
i-CoolTw 12cm 靜音油封風扇(大4Pin) 不挑色,75
SAMA 高級 12cm 機殼風扇(黑葉)/油封軸承(大4pin/小3Pin),75
aigo 極光LED風扇/白光/12cm/大4pin+小3pin/液壓軸承,290
Sharkoon Blades 幻彩鯊魚A.RGB/12cm風扇/小3pin/1200RPM,490
曜越 Luna 14cm LED 藍光風扇/1000RPM/3Pin(CL-F021-PL14BU-A)*售完為止,280
曜越 Luna 14cm LED 白光風扇/1000RPM/3Pin(CL-F023-PL14WT-A)*售完為止,280
【2019 COMPUTEX 獨家】ALSEYE X12 RGB 黑框黑葉/三顆裝+控制器,1990
酷碼 VGA Holder 顯卡用支架 千斤頂顯卡支撐架/(0005-KUH00),489
歡慶台南旗艦新店 酷碼 VGA Holder 千斤頂顯卡支撐架(0005-KUH00) 任顯卡搭購價只要199,199
銀欣 SST-PP08B SFX(SFX-L) 轉 ATX 標準電源供應器/轉接架【訂】,280
Awesome 和順 2.5轉3.5 SSD硬碟轉接架/鐵製,89
技嘉 GC-USB 3.1 /TYPE-C/佔5.25吋空間/SATA Express介面【售完為止】,990
NZXT PUCK 磁吸式耳機架(共五色請詢問),650
NZXT Internal USB Hub 內接式USB集線器/USB擴充/3組內部9pin擴充/2組外部擴充,880
酷碼 24Pin 90度轉角度接頭(CMA-CEMB01XXBK1-GL)【訂】,790
酷碼 RGB 簡易型控制器/4pin(12V)/大4pin供電(RE-C10L-RGB-R1),190
酷碼 A.RGB LED 小型控制器/3pin(5V)(MFX-ACBN-NNUNN-R1),799
酷碼 RGB LED 風扇燈光控制器/SATA Power供電(MFY-RCSN-NNUDK-R1)【訂】,1190
酷碼 風扇 RGB分接線/1分3/4pin(12V)(R4-ACCY-RGBS-R2),290
酷碼 風扇 A.RGB分接線/1分3/3pin(5V)(MFX-AWHN-3NNN1-R1),350
Bitspower Touchaqua A.RGB 1對8集線器/工業袋裝/1年(BPTA-DRGBMFC),450
銀欣 1 to 8 PWM Fan Hub 風扇集線器 (SST-CPF04),319
華碩 ROG AURA Terminal A.RGB 控制器/4組3pin/內含A.RGB燈條30cm*2/60cm*1【訂】,2990
海盜船 RGB Fan LED Hub 海盜船風扇專用集線器(CO-8950020)【訂】,490
海盜船 Commander PRO RGB 風扇燈條控制器(CL-9011110-WW),2190
海盜船 Lighting Node PRO 燈光控制模組/4入RGB燈條/內含控制器(CL-9011109-WW),1690
海盜船 RGB LED Lighting PRO Expansion Kit 4入RGB燈條/不含控制器(CL-8930002),1050
曜越 Pacific Lumi Plus 磁吸式LED燈條控制組(CL-O014-PL00SW-A),1900
【12V燈條】酷碼 通用型RGB燈條/4pin(12V)/22cm/磁吸(CMT-MCA-U000R-CLS000),790
【5V燈條】華碩 ASUS ROG A.RGB LED Strip 5050LED燈條/30cm/AURA SYNC,690
【5V燈條】華碩 ASUS ROG A.RGB LED Strip 5050LED燈條/60cm/AURA SYNC,990
【5V燈條】COUGAR A.RGB LED燈條/內附2條45cm A.RGB燈條,990
【5V燈條】Sharkoon Blades 幻彩鯊魚A.RGB燈條/60cm/18顆5050LED燈條/2年保,490
