技嘉 CI11M_B【300+433M】AC9462(AC雙頻+藍牙5.0模組/M.2 Key-E) CNVi主板專用【限網路下單】,490
技嘉 CI22M_A【300+1733M】AC9560 (AC雙頻+藍牙5.0模組/M.2 Key-E) CNVi主板專用,980
NVIDIA Jetson TX2(Tegra X2核心/1H2P/8G/32G/WiFi ac+BT)【學生專案-需原廠申請】,10490
NVIDIA Jetson TX2(Tegra X2核心/1H2P/8G/32G/WiFi ac+BT) 嵌入式開發工具,20990
華碩 Tinker Board “樹莓派3”(RK3288四核/2G/HDMI/Gb LAN/WiFi n+BT4/保固一年),1990
華碩 Tinker Board S“樹莓派S”(RK3288四核/2G/16GB/HDMI/Gb LAN/WiFi n+BT4/保一年),2490
華碩 Tinker Fanless Aluminum Case 樹莓派鋁質機殼【客訂】,599
華碩 Tinker Open Case DIY Kit 樹莓派開放組裝套件(含風扇/散熱片/底板)【客訂】,499
華碩 Tinker Power Supply 樹莓派電源供應器(Micro-USB接頭 / DC 5.0V / 3.0A)【客訂】,499
華碩 P10S-C/4L(ATX/C232/1A/2*M.2/四Ｉ網/1*Mgmt LAN/三年),5690
華碩 WS C246M PRO(M-ATX/C246/1A1H1P/雙Ｉ網/1*M.2三年)#客訂,6790
華碩 WS C246M PRO(M-ATX)+XEON E-2124工業包【4核4緒】3.3GHz(↑4.3G)/8M/無內顯,12990
華碩 WS C246 PRO(ATX/C246/1A1D1H1P/雙Ｉ網/2*M.2/三年)#客訂,7190
華碩 WS C246 PRO(ATX) + XEON E-2124工業包【4核4緒】3.3GHz(↑4.3G)/8M/無內顯,13390
技嘉 C246M WU4(M-ATX/C246/1A1D1P/雙Ｉ網/2*M.2/三年)#客訂,5700
技嘉 C246 WU4(ATX/C246/2P/雙Ｉ網/2*M.2/三年)#客訂,6700
華碩 WS Z390 PRO(ATX/1H1P/雙Ｉ網/2*M.2/2*U.2/三年)#客訂,12900
華碩 Z10PE-D16 WS(EEB/C612/雙2011-V3.V4/16*DDR4/M.2/雙Ｉ網+Mgmt LAN)#客訂,14000
華碩 WS X299 PRO(ATX/8*D4/雙Ｉ網/2*M.2/U.2/三年)#客訂,12900
華碩 WS X299 PRO/SE(CEB/8*D4/雙Ｉ網/2*M.2/U.2/ASMB9-iKVM/ACC/三年)#客訂,14500
華碩 WS X299 SAGE(ATX/8*D4/雙Ｉ網/2*M.2/2*U.2/三年)#客訂,18900
華碩 WS X299 SAGE/10G(CEB/8*D4/雙Ｉ網-10G/2*M.2/1*U.2/三年)#客訂,21900
華碩 WS C422 PRO/SE(ATX/8*D4/雙Ｉ網/2*M.2/U.2/ACC/三年)#客訂,14900
技嘉 X299-WU8(CEB/8*D4/雙Ｉ網/1*M.2/三年)#客訂,16500
技嘉 MW51-HP0(CEB/C422/8*D4/雙Ｉ網/1*M.2/U.2/三年)#客訂,12190
華碩 WS C621E SAGE(EEB/雙3647(方)/12*D4/雙Ｉ網/M.2/4*U.2/三年)#客訂,20500
技嘉 C621-SU8(ATX/單3647/8*DDR4/2*M.2/雙Ｉ網+Mgmt LAN)#客訂,14500
技嘉 C621-SD8(CEB/雙3647(方)/8*DDR4/1*M.2/雙Ｉ網+Mgmt LAN)#客訂,16500
技嘉 MZ31-AR0(E-ATX/16*D4/雙SFP+ 10Gb網/4*SlimSAS/三年)#客訂,13600
華碩 H110I-PLUS/CSM (mini-ITX/1A1D1H/U3/全固/註四年)ACC軟體,2890
華碩 H110M-C/CSM (M-ATX/1A1D/全固/U3/COM埠/註四年)ACC軟體,2490
華碩 H110M-K【單片盒裝】(M-ATX/1A1D/U3/全固/註四年),2190
華碩 H110M-K (M-ATX/1A1D/U3/全固/註四年)【裝機版】,1890
技嘉 H110M-H(M-ATX/1A1H/U3/全固/註四年),1680
技嘉 H110M-S2PH(M-ATX/1A1H/U3/全固/LPT+COM埠/註四年),2290
華碩 H110M-K D3(M-ATX/1A1D/U3/註四年) 支援DDR3,1990
華碩 PRIME X299-A(ATX/Ｉ網/12V 8+4p/註四年),11990
華碩 PRIME X299 DELUXE II(ATX/Ｉ網+Aquantia 5G/ac+BT5/註四年),15990
華碩 ROG RAMPAGE VI EXTREME OMEGA(E-ATX/Ｉ網+Aquantia 10G/ac+BT5/註五年),19990
技嘉 X299 UD4 Pro(ATX/2*M.2/Ｉ網/12V 8p/IR PowIRstage/註四年),10690
技嘉 X299 AORUS MASTER(E-ATX/3*M.2/Ｉ網+2.5G網/ac+BT4/註五年),13890
技嘉 X299 DESIGNARE EX(ATX/雙DP輸入/雙Ｉ網/ac+BT4.2/註四年)送技嘉512GB SSD,19890
微星 X299 GAMING M7 ACK(ATX/K網/ac+BT4/12V 8+4p/註五年)限網路下單,14700
微星 MEG X299 CREATION(E-ATX/Ｉ網+2.5G網/ac+BT5/Thunderbolt擴充卡/註五年),18490
華擎 X299 Killer SLI/ac(ATX/Ｉ網/ac+BT4/12V 8p/註四年+365天換新),7990
華碩 PRIME H310M-K R2.0(M-ATX/1A1D/註四年) 請認明新版 2.0 才有支援Win 7,2290
華碩 PRIME H310M-K R2.0(M-ATX/1A1D/註四年)【裝機版】R2.0才有支援Win 7,1890
華碩 PRIME H310M-D R2.0/CSM(M-ATX/1A1H/M.2/LPT+COM埠/註四年),2490
華碩 PRIME H310M-C R2.0/CSM(M-ATX/1A1D/M.2/COM埠/註四年),2590
華碩 PRIME H310I-PLUS R2.0/CSM(mini-ITX/1A1D1H/M.2/CNVi/註四年),2990
華碩 TUF H310M-PLUS GAMING【獨家軍規四年】(M-ATX/1D1H/M.2/Ｉ網),2690
華碩 TUF H310-PLUS GAMING(ATX/1A1H/M.2/Ｉ網/註四年),2790
技嘉 H310M S2V 2.0(M-ATX/1A1D/註四年),1890
技嘉 H310M H 2.0(M-ATX/1A1H/註四年),2190
技嘉 H310M A【獨家】(M-ATX/1H1P/M.2-4X/Ｉ網/註四年)規格最齊全！,2390
技嘉 H310M DS2(M-ATX/1A/LPT+COM埠/註四年) 商用板,2390
技嘉 H310M S2H 2.0(M-ATX/1A1D1H/M.2-2X/註四年),2390
技嘉 H310M S2P(M-ATX/1A1D1H/M.2/COM/註四年),2350
技嘉 H310M S2P 2.0(M-ATX/1A1D1H/M.2/COM/註四年),2490
技嘉 H310 D3(ATX/1A1H/M.2/LPT+COM埠/CNVi/註四年),2650
技嘉 H310N(mini-ITX/1A1D1H/M.2/註四年),2790
微星 H310M WATER PLUS【獨家五行系列－水】(M-ATX/1A1D/註四年),1990
微星 H310M PRO-VDH PLUS(M-ATX/1A1D1H/註四年),2190
微星 H310M PRO-M2 PLUS(M-ATX/1A1D1H/註四年),2490
微星 H310M PRO-VL(M-ATX/1A/LPT+COM埠/註四年) 商用板,2390
華擎 H310CM-HDV(M-ATX/1A1D1H/註四年+365天換新),1780
華擎 H310CM-ITX/ac(mini-ITX/1D1H1P/M.2/Ｉ網/ac+BT4/註四年+365天換新),2790
華碩 PRIME B365M-K(M-ATX/1A1D/註四年),2690
